ccaa,codigo_iso,demanda_gwh_2019,pct_peninsular,peso_normalizado
Cataluña,ES-CT,46946,18.837,0.18837
Andalucía,ES-AN,39820,15.977,0.15977
Madrid,ES-MD,28411,11.400,0.11400
Comunidad Valenciana,ES-VC,27274,10.943,0.10943
Galicia,ES-GA,18408,7.386,0.07386
País Vasco,ES-PV,16320,6.548,0.06548
Castilla y León,ES-CL,14210,5.702,0.05702
Castilla-La Mancha,ES-CM,12136,4.869,0.04869
Aragón,ES-AR,10806,4.336,0.04336
Murcia,ES-MC,9456,3.794,0.03794
Asturias,ES-AS,9411,3.776,0.03776
Navarra,ES-NC,5159,2.070,0.02070
Extremadura,ES-EX,4971,1.995,0.01995
Cantabria,ES-CB,4195,1.683,0.01683
La Rioja,ES-RI,1705,0.684,0.00684
